Autor,Favs,RTs,Texto,Timestamp
Fin 🥀,0,112,RT @HannahPasques: Me waking up at 1am to see that Tati uploaded another video james Charles  https://t.co/mWWFdvp44j,2019-05-17 12:40:20
Tehya Shackelton,0,15463,"RT @alfiexrose: okay i get that everyone is mad at james charles but he actually made a good point here, https://t.co/qkGJjXy47I",2019-05-17 12:40:11
𝓂𝒶𝓇𝓉𝒽𝒶🥥,0,8,RT @supyanzo: i just heard a rumour that james charles is sitting alone in his cold empty mansion on 40 tablets of xanax listening to womp…,2019-05-17 12:40:08
youtube: Karlicious K,0,95,RT @alexviiibe: I am literally dead with these Tati x James Charles memes #ByeSister 🤣 https://t.co/jMe40RIGsu,2019-05-17 12:40:02
Megan Wells,0,199206,"RT @WWYITMBailey: TATI WESTBROOK REALLY JUST TOLD JAMES CHARLES TO- 

now that i have your attention, our planet is expected to become unin…",2019-05-17 12:39:53
That Carstairs,0,79,RT @bruhitssummerrr: we need to cancel these men like we did James Charles  #AbortionIsAWomansRight https://t.co/VgLHZdZ3nE,2019-05-17 12:39:52
The True Commander,0,0,@TandJ_NoCont James Charles in the nutshell,2019-05-17 12:39:50
k ✨💃🏼,0,59,RT @BestyDeVos: james charles’ mother rupaul charles must be so dissapointed...,2019-05-17 12:39:47
mh,0,121987,"RT @hxneysvckle: JAMES CHARLES’ RESPONSE TO TATI WAS

ok now that I have your attention, Georgia and Ohio are trying to make not only abort…",2019-05-17 12:39:43
Sara Johnson,0,0,Tati Westbrook Announces YouTube Hiatus Following James Charles Feud https://t.co/fmzlmTo7KD https://t.co/aXYJP9WVhv,2019-05-17 12:39:34
Will Trinder,0,828,RT @callummarkie: ahh sexual harassment from the man who called James Charles a predator?? can’t wait to see how many people defend physica…,2019-05-17 12:39:34
츄,0,1,RT @notjkook: @wangzyunhao James Charles who? We don't know about him.,2019-05-17 12:39:33
5ra,0,0,why is my fb still filled with james charles drama please he's so god damn ugly do i really need to stare at his fa… https://t.co/yDdlCTtm1h,2019-05-17 12:39:31
Mohammed Yaseen,0,2,RT @I_See_That_: These pressed liberal muslims need leave my mentions and focus on fixing homosexual predators like James Charles.,2019-05-17 12:39:27
